phone.number,account.length,international.plan,voice.mail.plan,number.vmail.messages,total.day.minutes,total.day.calls,total.day.charge,total.eve.minutes,total.eve.calls,total.eve.charge,total.night.minutes,total.night.calls,total.night.charge,total.intl.minutes,total.intl.calls,total.intl.charge,number.customer.service.calls
 354-8815,101, no, no,0,70.9,123,12.05,211.9,73,18.01,236,73,10.62,10.6,3,2.86,3
 381-7211,137, no, no,0,223.6,86,38.01,244.8,139,20.81,94.2,81,4.24,9.5,7,2.57,0
 411-9481,103, no, yes,29,294.7,95,50.1,237.3,105,20.17,300.3,127,13.51,13.7,6,3.7,1
 418-9100,99, no, no,0,216.8,123,36.86,126.4,88,10.74,220.6,82,9.93,15.7,2,4.24,1
 413-3643,108, no, no,0,197.4,78,33.56,124,101,10.54,204.5,107,9.2,7.7,4,2.08,2
 375-6180,117, no, no,0,226.5,85,38.51,141.6,68,12.04,223,90,10.04,6.9,5,1.86,1
 348-8073,63, no, yes,32,218.9,124,37.21,214.3,125,18.22,260.3,120,11.71,12.9,3,3.48,1
 359-9881,94, no, no,0,157.5,97,26.78,224.5,112,19.08,310.8,106,13.99,11.1,6,3,0
 353-6954,138, no, no,0,89.1,117,15.15,126.8,46,10.78,190.5,71,8.57,9.9,4,2.67,2
 403-4933,128, no, yes,43,177.8,100,30.23,147.3,89,12.52,194.2,92,8.74,11.9,1,3.21,0
 360-3811,113, no, yes,39,209.8,77,35.67,164.1,90,13.95,159.7,100,7.19,9,4,2.43,1
 353-1755,140, no, no,0,93.2,109,15.84,197.6,116,16.8,219.8,94,9.89,10.5,2,2.84,1
 372-8233,102, no, no,0,228.1,86,38.78,156,97,13.26,227.9,124,10.26,10.6,9,2.86,1
 371-5951,108, no, no,0,112.6,86,19.14,114.9,101,9.77,177.8,119,8,7.2,6,1.94,3
 381-5937,60, no, no,0,207.3,77,35.24,207.9,105,17.67,108.2,89,4.87,12.9,5,3.48,1
 357-1784,96, no, no,0,208.1,93,35.38,189.2,107,16.08,279.6,90,12.58,7.4,2,2,1
 350-8209,178, no, yes,22,112.8,66,19.18,232.6,100,19.77,194.8,119,8.77,14.3,3,3.86,1
 400-5627,75, no, no,0,225.3,124,38.3,228,81,19.38,254.3,106,11.44,11.7,3,3.16,1
 365-2473,106, no, yes,25,169.4,105,28.8,240.5,108,20.44,159.4,114,7.17,13.9,5,3.75,4
 357-3134,158, no, no,0,193.3,121,32.86,208.1,97,17.69,228.1,99,10.26,7.1,9,1.92,1
 396-8198,111, no, yes,35,161.2,142,27.4,159.1,104,13.52,167.9,98,7.56,14.7,5,3.97,1
 382-1445,102, no, no,0,95.6,88,16.25,167.6,106,14.25,177.3,95,7.98,9.8,2,2.65,3
 391-3827,92, no, yes,25,79.8,99,13.57,313.6,120,26.66,135.5,104,6.1,9.3,8,2.51,2
 365-4330,42, no, yes,31,170.8,101,29.04,233.4,104,19.84,174.2,121,7.84,11,3,2.97,2
 328-6124,69, no, no,0,229.2,111,38.96,165.3,104,14.05,235.1,80,10.58,5.2,5,1.4,1
 328-1642,117, no, yes,38,259.3,94,44.08,245.6,71,20.88,269.3,125,12.12,9.2,1,2.48,3
 419-9753,76, no, yes,41,212.6,110,36.14,172.7,97,14.68,186.3,78,8.38,10.1,5,2.73,0
 413-5754,72, yes, no,0,101,110,17.17,240,70,20.4,333.5,105,15.01,11.1,6,3,0
 373-8390,115, yes, yes,6,140.1,125,23.82,157.9,100,13.42,249.4,96,11.22,10.1,3,2.73,1
 359-5139,68, no, no,0,150.4,106,25.57,199,131,16.92,109.7,103,4.94,12.3,3,3.32,3
 359-8799,60, yes, yes,37,189.9,125,32.28,110.4,107,9.38,210.7,115,9.48,9.1,5,2.46,3
 416-8332,97, no, no,0,100.8,74,17.14,233.8,88,19.87,208.7,79,9.39,12.6,3,3.4,2
 350-4349,92, no, no,0,138.1,131,23.48,175.7,128,14.93,192.7,119,8.67,10,3,2.7,3
 369-6937,178, no, no,0,179.7,112,30.55,276.6,91,23.51,169.7,101,7.64,10.1,7,2.73,3
 413-9854,90, no, yes,30,191.3,104,32.52,257.1,109,21.85,177.7,89,8,11,1,2.97,1
 392-3989,72, no, no,0,168.3,76,28.61,212.4,126,18.05,200.2,132,9.01,12,3,3.24,2
 378-8356,73, no, no,0,137.6,113,23.39,179.7,75,15.27,172.8,71,7.78,10.7,2,2.89,1
 334-9483,54, no, no,0,255.4,122,43.42,22.3,87,1.9,152.6,72,6.87,11.1,6,3,0
 329-1253,161, no, no,0,166.2,125,28.25,279.4,78,23.75,181,85,8.15,13.4,6,3.62,1
 376-8749,125, yes, no,0,158.7,112,26.98,155.7,126,13.23,246,110,11.07,8.3,1,2.24,2
 403-2167,194, no, no,0,258.3,76,43.91,306,88,26.01,241.8,106,10.88,13.6,4,3.67,1
 399-2766,69, no, yes,40,77,106,13.09,161.7,94,13.74,188.6,82,8.49,12.5,6,3.38,1
 365-5972,141, no, yes,33,168.4,127,28.63,185.1,106,15.73,220,78,9.9,11,4,2.97,2
 398-6972,98, no, no,0,307.2,65,52.22,138.6,97,11.78,381.6,99,17.17,10.2,4,2.75,2
 387-4946,110, no, no,0,175.6,91,29.85,236.5,127,20.1,194.9,114,8.77,9.5,8,2.57,0
 390-1881,70, no, no,0,169.1,48,28.75,219.8,62,18.68,193.5,105,8.71,10.7,8,2.89,3
 412-5272,72, no, no,0,190.7,111,32.42,241.6,103,20.54,278.1,95,12.51,4.4,3,1.19,1
 381-5680,66, no, no,0,239.6,120,40.73,230.3,110,19.58,153,82,6.89,8.6,3,2.32,1
 420-6493,79, no, no,0,121.3,112,20.62,282.8,107,24.04,123.1,83,5.54,7.4,4,2,1
 388-2010,61, no, no,0,208.4,102,35.43,326.1,96,27.72,201.9,73,9.09,10.1,8,2.73,1
 358-4056,97, yes, no,0,230.6,131,39.2,261.3,136,22.21,157.1,96,7.07,6.8,4,1.84,0
 330-7635,63, no, no,0,112.5,95,19.13,211.2,67,17.95,227.5,96,10.24,11.1,8,3,0
 392-2572,77, no, yes,36,172.2,88,29.27,161.6,112,13.74,259.7,115,11.69,11.8,4,3.19,2
 420-6548,73, no, no,0,195.3,97,33.2,96.8,89,8.23,243.1,84,10.94,16.2,13,4.37,1
 373-7432,105, no, no,0,167.7,93,28.51,234.1,103,19.9,169.7,121,7.64,6.9,5,1.86,3
 385-9556,159, no, no,0,180.1,103,30.62,193.4,148,16.44,251.2,109,11.3,13.4,5,3.62,0
 365-6692,83, no, no,0,129.6,81,22.03,189.7,117,16.12,219,118,9.86,9.8,4,2.65,2
